,favour,against,sentements,data,isPolitical,user,language,sentiments,Hindi,Political,Tag
889,"[""BJP""]","[""INC"",""AAP"",""Others""]",[],"झाड़ू ""आप पार्टी"" का है, 
लगा मोदीजी रहे हैं, 
साफ‌ कांग्रेस हो ‌रही है, 
पेट में दर्द ठगबंधन वालों को हो रहा है,

और

मजा हम भक्त ले रहे हैं..!!
",True,prathamesh,Hindi,Others,झाड़ू आप पार्टी का है लगा मोदीजी रहे हैं साफ‌ कांग्रेस हो ‌रही है पेट में दर्द ठगबंधन वालों को हो रहा है औरमजा हम भक्त ले रहे हैं,1,1
891,[],[],[],"*""बहत्तर""* के लालच में *""बेहतर""* को त्याग कर जिंदगी को *""बद्तर""* मत बना लेना, 



*लाभार्थी सिर्फ एक विशेष समुदाय के ही लोग होंगे* ! 
*समझे* ?",True,prathamesh,Hindi,Others,बहत्तर के लालच में बेहतर को त्याग कर जिंदगी को बद्तर मत बना लेना लाभार्थी सिर्फ एक विशेष समुदाय के ही लोग होंगे समझे,1,1
892,[],[],"[""Others""]",*कया आप से कोई बार - बार जूठ बोले तो आप को कैसा लगेगा ? ?*,False,prathamesh,Hindi,Others,कया आप से कोई बार बार जूठ बोले तो आप को कैसा लगेगा,0,1
894,[],"[""BJP""]",[],"मोदी ने इतनी टेंशन पैदा कर दी कि उंगलिया 5 से 6 कब हो गई पता ही नहीं चला।
",True,prathamesh,Hindi,Others,मोदी ने इतनी टेंशन पैदा कर दी कि उंगलिया से कब हो गई पता ही नहीं चला,1,1
899,[],[],"[""Others""]","रक्षा मंत्रालय ने दिया 114 धनुष तोप का ऑर्डर, 38 किमी की रेंज में लगा सकती हैं निशाना

via Dailyhunt

डाउनलोड करें:
",False,srijit,Hindi,Others,रक्षा मंत्रालय ने दिया 114 धनुष तोप का ऑर्डर 38 किमी की रेंज में लगा सकती हैं निशानाvia Dailyhuntडाउनलोड करें,0,1
900,[],"[""INC""]",[],"मेरे देशवासियों

आप अपनी जमीन वाड्रा को दे देना

मैं आपको 72000 दूंगा

आपका : पप्पू",True,srijit,Hindi,Others,मेरे देशवासियोंआप अपनी जमीन वाड्रा को दे देनामैं आपको 72000 दूंगाआपका पप्पू,1,1
901,"[""BJP""]",[],[],"लक्ष्य हमारा मोदीजी दोबारा
55 साल बनाम 55 महिने देश की जनता तय करेगी",True,srijit,Hindi,Others,लक्ष्य हमारा मोदीजी दोबारा55 साल बनाम 55 महिने देश की जनता तय करेगी,1,1
903,[],[],"[""Others""]",Namaste,False,srijit,Hindi,Others,Namaste,0,1
904,[],[],"[""Spam""]","कोई भी लड़की का नाम लिखे और 
*एड्रेस*
*लोकेसन* 
*नंबर*
जानिए इस एप के जरिये
 ",False,srijit,Hindi,Spam,कोई भी लड़की का नाम लिखे और एड्रेसलोकेसन नंबरजानिए इस एप के जरिये,0,3
905,[],[],[],"लोकसभा चुनाव: पहले चरण की वोटिंग खत्म, यूपी में 63 बंगाल में 81% मतदान, त्रिपुरा सबसे आगे

Source : ""Zee News"" via Dailyhunt

डाउनलोड करें:
",True,srijit,Hindi,Others,लोकसभा चुनाव पहले चरण की वोटिंग खत्म यूपी में 63 बंगाल में 81 मतदान त्रिपुरा सबसे आगेSource Zee News via Dailyhuntडाउनलोड करें,1,1
906,"[""BJP""]","[""INC""]",[],राजीव गांधी एक आतंकवादी था जिसमें लाखों सिखों को मरवाया था नाथूराम गोडसे देशभक्त है नाथू गोडसे जिंदाबाद,True,srijit,Hindi,Others,राजीव गांधी एक आतंकवादी था जिसमें लाखों सिखों को मरवाया था नाथूराम गोडसे देशभक्त है नाथू गोडसे जिंदाबाद,1,1
907,"[""BJP""]","[""INC""]",[],दिग्विजय सिंह नरेंद मोदीजी को फिर से PM बनाने के लिए प्रचार प्रसार में लग गए,True,srijit,Hindi,Others,दिग्विजय सिंह नरेंद मोदीजी को फिर से PM बनाने के लिए प्रचार प्रसार में लग गए,1,1
908,[],[],"[""Others""]",बच्चों के रिजल्ट आने वाले हैं,False,srijit,Hindi,Others,बच्चों के रिजल्ट आने वाले हैं,0,1
909,[],[],"[""Advertisement""]","*Sunil* ने आपके लिये कुछ भेजा है, 
ओपन करने के बाद इस *ॐ* को टच करे 
 
 socialpower.club/?n=sunil",False,prathamesh,Hindi,Advertisement,Sunil ने आपके लिये कुछ भेजा है ओपन करने के बाद इस को टच करे socialpowerclub/ n=sunil,0,2
910,[],"[""BJP""]",[],Bjp bhakton ke moon pe marni hai,True,prathamesh,Hindi,Others,Bjp bhakton ke moon pe marni hai,1,1
911,[],[],"[""Others""]",जो भी चैटिंग करेगा उसको एडमिन द्वारा बाहर किया जाएगा रिटर्न इस ग्रुप में ज्वाइन नहीं कर पाओगे,False,prathamesh,Hindi,Others,जो भी चैटिंग करेगा उसको एडमिन द्वारा बाहर किया जाएगा रिटर्न इस ग्रुप में ज्वाइन नहीं कर पाओगे,0,1
914,"[""BJP""]","[""INC""]",[],कांग्रेस महागठबंधन और मौलाना फतवा जारी करके मुस्लिमों को अपिल कर रहे हैं बिजेपी को वोट न दे योगी जी ने कहा  बिजेपी की साँस हिंदु धर्म में हैं,True,prathamesh,Hindi,Others,कांग्रेस महागठबंधन और मौलाना फतवा जारी करके मुस्लिमों को अपिल कर रहे हैं बिजेपी को वोट दे योगी जी ने कहा बिजेपी की साँस हिंदु धर्म में हैं,1,1
915,[],[],"[""Others""]","Welcome Nitesh Vasavaji
Kindly introduce yourself",False,prathamesh,Hindi,Others,Welcome Nitesh VasavajiKindly introduce yourself,0,1
916,[],[],"[""Others""]",ईस भाई ग्रुप से हटा दिया,False,prathamesh,Hindi,Others,ईस भाई ग्रुप से हटा दिया,0,1
917,[],[],"[""Others""]",Assalamualaikum,False,prathamesh,Hindi,Others,Assalamualaikum,0,1
918,[],[],"[""Others""]",Mast dance hai bhai slow motion ka,False,prathamesh,Hindi,Others,Mast dance hai bhai slow motion ka,0,1
920,[],[],"[""Others""]",कश्मीरी पंडितों पर क्या गुज़री थी सुनो इस कश्मीरी लड़की जुबानी,False,prathamesh,Hindi,Others,कश्मीरी पंडितों पर क्या गुज़री थी सुनो इस कश्मीरी लड़की जुबानी,0,1
921,[],[],"[""Others""]",Hello dosto kaise ho sab,False,prathamesh,Hindi,Others,Hello dosto kaise ho sab,0,1
922,"[""INC""]",[],[],"राहुल गांधी जी पहले ऐसे नेता होंगे जिनका प्रचार पार्टी से ज्यादा पब्लिक कर रही है
वो भी बिना पैसा लिए
मै भी समर्थक हूँ",True,prathamesh,Hindi,Others,राहुल गांधी जी पहले ऐसे नेता होंगे जिनका प्रचार पार्टी से ज्यादा पब्लिक कर रही हैवो भी बिना पैसा लिएमै भी समर्थक हूँ,1,1
924,[],[],"[""Others""]","भारत वासी अपने संस्कार नही भूलते 
12 दिन का शोक था 
आज तेरहवीं को पाकिस्तान का उठावना कर दिया।",False,prathamesh,Hindi,Others,भारत वासी अपने संस्कार नही भूलते 12 दिन का शोक था आज तेरहवीं को पाकिस्तान का उठावना कर दिया,0,1
925,[],[],[],"अब इस बात पर भी तृणमूल कांग्रेस ने जताया ऐतराज, कहा- यह दुर्भाग्यपूर्ण ",True,prathamesh,Hindi,Others,अब इस बात पर भी तृणमूल कांग्रेस ने जताया ऐतराज कहा- यह दुर्भाग्यपूर्ण,1,1
926,"[""BJP""]",[],[],"*भारत में 2 करोड़ से ज्यादा लोग नि:स्वार्थ मोदी जी का प्रचार कर रहें हैं क्या आप इनमें से एक हों तो तुरंत मुझे* 
 मित्र अनुरोध भेजें",True,prathamesh,Hindi,Others,भारत में करोड़ से ज्यादा लोग नि स्वार्थ मोदी जी का प्रचार कर रहें हैं क्या आप इनमें से एक हों तो तुरंत मुझे मित्र अनुरोध भेजें,1,1
927,[],[],"[""Others""]","सारे सवाल आउट ऑफ सिलेबस थे। न कोई आम के बारे में पूछ रहा था, न बटुए के बारे में और ना ही थकान के बारे में।

क्या जवाब देता",False,prathamesh,Hindi,Others,सारे सवाल आउट ऑफ सिलेबस थे कोई आम के बारे में पूछ रहा था बटुए के बारे में और ना ही थकान के बारे मेंक्या जवाब देता,0,1
928,[],[],[],"2019 मे मुकाबला BJP और गठबंधन के बीच नही 

INDIA  V/S PAKISTAN के 
बीच मे है बाकी आप होशियार हो",True,prathamesh,Hindi,Others,2019 मे मुकाबला BJP और गठबंधन के बीच नही INDIA V/S PAKISTAN के बीच मे है बाकी आप होशियार हो,1,1
929,[],[],"[""Others""]",Atankwadi ki baat tu hi maan,False,prathamesh,Hindi,Others,Atankwadi ki baat tu hi maan,0,1
930,[],[],[],"माथे पर तिलक लगाने वालों से डर लगता है - सिद्धारमैया कर्नाटक, (कांग्रेस) 
",True,prathamesh,Hindi,Others,माथे पर तिलक लगाने वालों से डर लगता है सिद्धारमैया कर्नाटक कांग्रेस,1,1
931,[],"[""INC""]",[],"भारत दुनिया का वो अजीबो-गरीब लोकतंत्र है ..!!

जहां वोट इस बात पर मांगा जाता है कि...

.



.



.



पोती की नाक दादी की नाक जैसी दिखती है..!!
",True,prathamesh,Hindi,Others,भारत दुनिया का वो अजीबो-गरीब लोकतंत्र है जहां वोट इस बात पर मांगा जाता है कि पोती की नाक दादी की नाक जैसी दिखती है,1,1
935,[],[],[],क्या लगता है इस बार मोदी जी क्या करने वाले है,True,prathamesh,Hindi,Others,क्या लगता है इस बार मोदी जी क्या करने वाले है,1,1
937,[],[],"[""Spam""]",*IPL मे मे चौकों छक्को की जगह इस रिदम् पर ज़्यादा मज़ा ले रहे हैं दर्शक*,False,prathamesh,Hindi,Spam,IPL मे मे चौकों छक्को की जगह इस रिदम् पर ज़्यादा मज़ा ले रहे हैं दर्शक,0,3
938,[],"[""BJP""]",[],"#नोटबन्दी से आतंकवाद की कमर तोड़ने का दावा करने वालों को शर्म से डूब मरना चाहिए ।।

#नमन_वीर_सपूतों",True,prathamesh,Hindi,Others,नोटबन्दी से आतंकवाद की कमर तोड़ने का दावा करने वालों को शर्म से डूब मरना चाहिए नमन_वीर_सपूतों,1,1
939,[],[],"[""Others""]",टेंशन लेने की कोई बात नहीं इसको रिमूव कर दिया गया,False,srijit,Hindi,Others,टेंशन लेने की कोई बात नहीं इसको रिमूव कर दिया गया,0,1
940,"[""BJP""]","[""Trinamool Congress""]",[],"Read Article 'PM मोदी की केदारनाथ यात्रा पर TMC ने EC से की शिकायत,कहा-इस बार भगवान भी नहीं बचा पाएंगे'
Using app 'आयुष इंडिया न्यूज़'
Source : ",True,srijit,Hindi,Others,Read Article 'PM मोदी की केदारनाथ यात्रा पर TMC ने EC से की शिकायत कहा-इस बार भगवान भी नहीं बचा पाएंगे'Using app 'आयुष इंडिया न्यूज़'Source,1,1
941,[],[],"[""Others""]",Rajni sogarwal jii bina photo forward kiye bhi aap admin se sikhayat kar sakte ho!!!,False,srijit,Hindi,Others,Rajni sogarwal jii bina photo forward kiye bhi aap admin se sikhayat kar sakte ho,0,1
942,[],[],"[""Others""]","12th पढ़ने वालों के रिज़ल्ट आज आ गए हैं ।

10th पढ़ने वालों के रिज़ल्ट पाँच मई तक आएँगे ।

और कुछ ना पढ़ने वालों के रिज़ल्ट 23 मई को आएँगे ।
",False,srijit,Hindi,Others,12th पढ़ने वालों के रिज़ल्ट आज गए हैं 10th पढ़ने वालों के रिज़ल्ट पाँच मई तक आएँगे और कुछ ना पढ़ने वालों के रिज़ल्ट 23 मई को आएँगे,0,1
943,[],[],"[""Others""]","बहुत मुश्किल से ढूंढा है जरूर देखें बलात्कारी बाबा से किस किस ने आशीर्वाद लिया है।
हँसना मना है।",False,srijit,Hindi,Others,बहुत मुश्किल से ढूंढा है जरूर देखें बलात्कारी बाबा से किस किस ने आशीर्वाद लिया हैहँसना मना है,0,1
944,[],[],"[""Others""]","24 मई को पार्टी है, आइयेगा जरूर। छोटू को भी साथ लाना, थोड़ा मनोरंजन भी हो जायेगा।",False,srijit,Hindi,Others,24 मई को पार्टी है आइयेगा जरूर छोटू को भी साथ लाना थोड़ा मनोरंजन भी हो जायेगा,0,1
945,[],[],"[""Others""]",Hm to padhe likhe log h jalti to aap jaise logo ki hai,False,srijit,Hindi,Others,Hm to padhe likhe log jalti to aap jaise logo ki hai,0,1
947,[],"[""BJP""]",[],"आपका एक गलत 'वोट' 
आपके बच्चों से 'पकौड़े' तलवा सकता है!",True,srijit,Hindi,Others,आपका एक गलत वोट आपके बच्चों से 'पकौड़े तलवा सकता है,1,1
949,[],[],[],"*पीएम मोदी* *अभी*

   पहले आतंकी हमारे सैनकों को सोते हुऐ ही शहीद कर देते थे आज हमारे जवान उन्हें लड कर मार रहे हैं",False,srijit,Hindi,Others,पीएम मोदी अभी पहले आतंकी हमारे सैनकों को सोते हुऐ ही शहीद कर देते थे आज हमारे जवान उन्हें लड कर मार रहे हैं,0,1
951,"[""BJP""]",[],[],"उसने कहा-मोदी के आने से क्या हुआ है?
मैंने कहा-कुछ नहीं बस जो कश्मीर मांगते थे, वो भीख मांग रहे हैं.
बुरा मान गया पगला
",True,srijit,Hindi,Others,उसने कहा-मोदी के आने से क्या हुआ है मैंने कहा-कुछ नहीं बस जो कश्मीर मांगते थे वो भीख मांग रहे हैंबुरा मान गया पगला,1,1
952,[],[],"[""Others""]","*I Love My India!*

जो पूरी रात जागते हो, यो जरूरी कोणी के वो आशिक हो।
कुछ देश प मिटन आले फौजी भी होया करै।
जय हिन्द !   

Sudrshan patel",False,srijit,Hindi,Others,Love My India जो पूरी रात जागते हो यो जरूरी कोणी के वो आशिक होकुछ देश मिटन आले फौजी भी होया करैजय हिन्द Sudrshan patel,0,1
953,[],[],"[""Others""]",har har mahadev,False,srijit,Hindi,Others,har har mahadev,0,1
954,[],[],"[""Others""]",Feku hi line me he.,False,prathamesh,Hindi,Others,Feku hi line me he,0,1
955,"[""BJP""]","[""INC""]",[],मैं मोदी का प्रचार करता हूँ क्योकि  मुंबई हमले में 186 मरने के बाद कांग्रेस चुप थी पर मोदी 40 जवानों केलिए पाक में घुस कर ठोके है,True,prathamesh,Hindi,Others,मैं मोदी का प्रचार करता हूँ क्योकि मुंबई हमले में 186 मरने के बाद कांग्रेस चुप थी पर मोदी 40 जवानों केलिए पाक में घुस कर ठोके है,1,1
956,[],"[""BJP""]","[""Offensive""]",Bjp aur uske bhakt hijde,True,prathamesh,Hindi,Offensive,Bjp aur uske bhakt hijde,1,0
957,[],[],"[""Others""]",ये क्या है,False,prathamesh,Hindi,Others,ये क्या है,0,1
960,"[""BJP""]","[""INC""]",[],"अब तो कांग्रेसी नेता अपने घर पर एशियन पैंट करवाने से भी डर रहे हैं
क्या पता?
दीवारें भी बोल उठे.
Main bhi ""चौकीदार '
",True,prathamesh,Hindi,Others,अब तो कांग्रेसी नेता अपने घर पर एशियन पैंट करवाने से भी डर रहे हैंक्या पता दीवारें भी बोल उठेMain bhi चौकीदार,1,1
961,[],[],[],Baki yha pe 45 jwan bi rajnit me mare gae,True,prathamesh,Hindi,Others,Baki yha pe 45 jwan bi rajnit me mare gae,1,1
964,[],"[""Trinamool Congress""]",[],ये बंगाल का हाल है हिन्दू अब भी न समझा तो इससे भी बुरा हाल है,True,prathamesh,Hindi,Others,ये बंगाल का हाल है हिन्दू अब भी समझा तो इससे भी बुरा हाल है,1,1
966,[],[],"[""Others""]","*तुम दारू मुर्गा पी खा के नए साल में प्रवेश करते हो..*
और 
हम धूप अगरबत्ती यज्ञ हवन कर के माथे पर तिलक लगा के प्रवेश करते है।",False,prathamesh,Hindi,Others,तुम दारू मुर्गा पी खा के नए साल में प्रवेश करते होऔर हम धूप अगरबत्ती यज्ञ हवन कर के माथे पर तिलक लगा के प्रवेश करते है,0,1
967,[],[],[],"झुंझुनूं लोकसभा चुनाव में भाजपा व कांग्रेस पार्टी इनको उतारेगी चुनावी मैदान में......देखे पूरी खबर 

 ",True,prathamesh,Hindi,Others,झुंझुनूं लोकसभा चुनाव में भाजपा कांग्रेस पार्टी इनको उतारेगी चुनावी मैदान में देखे पूरी खबर,1,1
968,[],[],"[""Others""]","जितने आंतकवादी मारे जाएंगे इनको दफनाना मत इनको अग्नि दी जाए।
जय हिन्द।",False,prathamesh,Hindi,Others,जितने आंतकवादी मारे जाएंगे इनको दफनाना मत इनको अग्नि दी जाएजय हिन्द,0,1
969,[],"[""INC""]",[],Group में पप्पू के चेले भी रहने चाहिए। तभी तो मज़ा आएगा।,True,prathamesh,Hindi,Others,Group में पप्पू के चेले भी रहने चाहिए तभी तो मज़ा आएगा,1,1
970,[],[],"[""Others""]",Use yaad nahi joga tabhi yadav hai...,False,prathamesh,Hindi,Others,Use yaad nahi joga tabhi yadav hai,0,1
972,[],"[""INC""]",[],"तीन राज्यों मे कांग्रेस की सरकार बनी
CHG- नक्सलियों के हमले शुरू
MP-भ्रष्टाचार,घोटाले शुरू RJ-टोल टैक्स,बिजली पानी दरों मे बढ़ोतरी",True,prathamesh,Hindi,Others,तीन राज्यों मे कांग्रेस की सरकार बनीCHG- नक्सलियों के हमले शुरूMP-भ्रष्टाचार घोटाले शुरू RJ-टोल टैक्स बिजली पानी दरों मे बढ़ोतरी,1,1
973,[],[],"[""Others""]",Ji bhai sahi bole,False,prathamesh,Hindi,Others,Ji bhai sahi bole,0,1
974,"[""BJP""]",[],[],"मोदी है तो ही मुमकिन है
वरना तो गठबंधन से विनाश मुमकिन है।",True,prathamesh,Hindi,Others,मोदी है तो ही मुमकिन हैवरना तो गठबंधन से विनाश मुमकिन है,1,1
976,[],[],"[""Spam""]","शौचालय योजना के तहत सब को चौकीदारी की रोजगार मिलेगी 
MBA, PHD, भी शामिल",False,prathamesh,Hindi,Spam,शौचालय योजना के तहत सब को चौकीदारी की रोजगार मिलेगी MBA PHD भी शामिल,0,3
977,[],[],"[""Others""]","

तकलीफ होने पर जो
व्यक्ति सबसे पहले याद
आए
वो हमारे जीवन का सबसे
कीमती इंसान होता है

",False,prathamesh,Hindi,Others,तकलीफ होने पर जोव्यक्ति सबसे पहले यादआएवो हमारे जीवन का सबसेकीमती इंसान होता है,0,1
978,[],[],"[""Advertisement""]","Read Article 'चक्रवात फोनी की वजह से भुवनेश्वर और कोलकाता हवाई अड्डों पर उड़ानों का परिचालन रद्द'
Using app 'आयुष इंडिया न्यूज़'
Source : ",False,prathamesh,Hindi,Advertisement,Read Article 'चक्रवात फोनी की वजह से भुवनेश्वर और कोलकाता हवाई अड्डों पर उड़ानों का परिचालन रद्द'Using app 'आयुष इंडिया न्यूज़'Source,0,2
979,[],"[""INC""]",[],"त्याग करना तो कोई गांधी परिवार से सीखे
देश की खातिर पूरे 4 महीने के लिए जीन्स टॉप का त्याग कर दिया प्रियंका गांधी ने ...
",True,anshuman,Hindi,Others,त्याग करना तो कोई गांधी परिवार से सीखेदेश की खातिर पूरे महीने के लिए जीन्स टॉप का त्याग कर दिया प्रियंका गांधी ने,1,1
980,[],[],"[""Spam""]",Post buri nahi lagegi ... Jab post me koi logic ho ..... .,False,anshuman,Hindi,Spam,Post buri nahi lagegi Jab post me koi logic ho,0,3
981,[],"[""INC""]",[],"राहुल गांधी मन्दबुद्धि है उसको कुछ सिखाया नही जा सकता - TIME Magazine
कांग्रेसी बड़े टाइम टाइम कर रहे थे अब बोलो",True,anshuman,Hindi,Others,राहुल गांधी मन्दबुद्धि है उसको कुछ सिखाया नही जा सकता TIME Magazineकांग्रेसी बड़े टाइम टाइम कर रहे थे अब बोलो,1,1
982,[],"[""BSP""]",[],*वो कौन सी तरकीब है जिससे हर 10 साल में मायावती की संपत्ति 10 गुना हो जाती है।*,True,anshuman,Hindi,Others,वो कौन सी तरकीब है जिससे हर 10 साल में मायावती की संपत्ति 10 गुना हो जाती है,1,1
983,"[""BJP""]","[""INC""]",[],"एक तरफ कमल का फूल.. और
दूसरी तरफ कमाल का Fool ...

मर्जी आपकी... 
जिसे चाहे चुन लें ...",True,anshuman,Hindi,Others,एक तरफ कमल का फूल औरदूसरी तरफ कमाल का Fool मर्जी आपकी जिसे चाहे चुन लें,1,1
984,"[""BJP""]",[],[],"नरेन्द्र मोदी के CM रहते 9-9 घन्टे CBI पूछताछ करती रही लेकिन कभी CBI के पूछताछ को विरोध किया

इमानदार को डर कैसा ?",True,anshuman,Hindi,Others,नरेन्द्र मोदी के CM रहते 9-9 घन्टे CBI पूछताछ करती रही लेकिन कभी CBI के पूछताछ को विरोध कियाइमानदार को डर कैसा,1,1
985,"[""BJP""]",[],[],"भारत का कुछ नही बिगाड़ा दुश्मन के तलवारों ने,

भारत को बरबाद किया है ,भारत के गद्दारों ने
jAi shree RAM
#नमो अगेन",True,anshuman,Hindi,Others,भारत का कुछ नही बिगाड़ा दुश्मन के तलवारों ने भारत को बरबाद किया है भारत के गद्दारों नेjAi shree RAM नमो अगेन,1,1
987,[],"[""AAP""]",[],"देश का गद्दार केजरीवाल
",True,anshuman,Hindi,Others,देश का गद्दार केजरीवाल,1,1
988,[],[],"[""Advertisement""]","*Circle*
अटरू: पंजाबी समाज को दिलाई मतदान करने की शपथ


अपने शहर का अपना ऐप, अभी डाउनलोड करें-
",False,anshuman,Hindi,Advertisement,Circleअटरू पंजाबी समाज को दिलाई मतदान करने की शपथअपने शहर का अपना ऐप अभी डाउनलोड करें-,0,2
990,[],[],"[""Others""]",Jai bharat,True,anshuman,Hindi,Others,Jai bharat,1,1
993,"[""BJP""]",[],"[""Advertisement""]","लेह में विकास परियोजनाओं का उद्घाटन करते हुए पीएम नरेंद्र मोदी।

*To follow PM Modi News on Duta:*
*Add to your group: +917397686001*",True,anshuman,Hindi,Advertisement,लेह में विकास परियोजनाओं का उद्घाटन करते हुए पीएम नरेंद्र मोदीTo follow PM Modi News on Duta Add to your group +917397686001,1,2
994,[],[],"[""Spam""]","*Rp* ने आपके लिए कुछ खास भेजा है 
*यहाँ से देखें*     
openthis.club/?n=Rp",False,anshuman,Hindi,Spam,Rp ने आपके लिए कुछ खास भेजा है यहाँ से देखें openthisclub/ n=Rp,0,3
995,"[""BJP""]","[""INC"",""BSP"",""SP""]",[],"देश बड़ा या पार्टी
हरामी कीऔलाद.
मोदी को हटाने के लिए सब महागठबंधन करके एक हो गये,लेकिन 370 हटाने के लिए 1 नेता ने भी मुँह नही खोला.

",True,anshuman,Hindi,Others,देश बड़ा या पार्टीहरामी कीऔलादमोदी को हटाने के लिए सब महागठबंधन करके एक हो गये लेकिन 370 हटाने के लिए नेता ने भी मुँह नही खोला,1,1
997,[],[],"[""Others""]","जीवन में कई मुसीबतें जल्दी से हाँ,
और देर से ना बोलने पर आती है !!हर हर महादेव",False,anshuman,Hindi,Others,जीवन में कई मुसीबतें जल्दी से हाँ और देर से ना बोलने पर आती है हर हर महादेव,0,1
998,[],[],"[""Others""]","Read Article 'शहडोल:बिजहा में कलापथक दल द्वारा दिया मतदान का संदेश'
Using app 'आयुष इंडिया न्यूज़'
Source : ",True,anshuman,Hindi,Others,Read Article 'शहडोल बिजहा में कलापथक दल द्वारा दिया मतदान का संदेश'Using app 'आयुष इंडिया न्यूज़'Source,1,1
999,"[""BJP""]",[],[],"मोदी जी से सम्पुर्ण कचरा साफ तो नहीं हुआ, पर एक ढेर के रूप में इकट्ठा जरूर हो गया हैं, *अब जलाने का काम हम सब को करना होगा...*",True,anshuman,Hindi,Others,मोदी जी से सम्पुर्ण कचरा साफ तो नहीं हुआ पर एक ढेर के रूप में इकट्ठा जरूर हो गया हैं अब जलाने का काम हम सब को करना होगा,1,1
1000,[],[],"[""Others""]","#पुलवामा_घात
का समर्थन करने पर देश भर में अब तक 39 छात्र बेदखल 96 के खिलाफ मुकदमा और 43 गिरफ्तार 
इत्तेफाक ये है कि सारे ""मुसलमान""",True,anshuman,Hindi,Others,पुलवामा_घातका समर्थन करने पर देश भर में अब तक 39 छात्र बेदखल 96 के खिलाफ मुकदमा और 43 गिरफ्तार इत्तेफाक ये है कि सारे मुसलमान,1,1
1001,[],"[""BJP""]",[],"*अनिल अंबानी और चोर चौकीदार की पोल खोलते फ़्रांस के अखबार...*
",True,anshuman,Hindi,Others,अनिल अंबानी और चोर चौकीदार की पोल खोलते फ़्रांस के अखबार,1,1
1002,"[""BJP""]",[],[],"देश नही सारी दुनिया पर मोदी छा रहा है 
कर लो तैयारी 
धूमधाम से 2019 में फिर मोदी आ रहा है..
",True,anshuman,Hindi,Others,देश नही सारी दुनिया पर मोदी छा रहा है कर लो तैयारी धूमधाम से 2019 में फिर मोदी रहा है,1,1
1003,[],[],"[""Spam""]","सत्संग प्रवचन 
संत समाज की संवैधानिक सुरक्षा पर फोकस करें जी",False,anshuman,Hindi,Spam,सत्संग प्रवचन संत समाज की संवैधानिक सुरक्षा पर फोकस करें जी,0,3
1004,"[""BJP""]","[""INC""]",[],मुलायम सिंह ने लोकसभा में कहा -- मेरी इच्छा है नरेंद्र मोदी जी पुनः प्रधानमंत्री बने ..हम लोग तो बहुमत में आ नही सकते ..!!,True,anshuman,Hindi,Others,मुलायम सिंह ने लोकसभा में कहा -- मेरी इच्छा है नरेंद्र मोदी जी पुनः प्रधानमंत्री बने हम लोग तो बहुमत में नही सकते,1,1
1005,[],"[""INC""]",[],सन47 की भी पूछो सिधु जैसे चमचे तो आज तक पाकिस्तान के ही गुण गाते हैं,True,anshuman,Hindi,Others,सन47 की भी पूछो सिधु जैसे चमचे तो आज तक पाकिस्तान के ही गुण गाते हैं,1,1
1007,[],[],"[""Spam""]",Kun hai admin,False,anshuman,Hindi,Spam,Kun hai admin,0,3
1009,[],"[""BJP""]",[],"बीजेपी बोलती थी की देश को जापान बना देंगे पर बीजेपी ने तो देश को नेपाल बना दिया , कुछ तो शर्म करो तू भी चौकीदार ",True,anshuman,Hindi,Others,बीजेपी बोलती थी की देश को जापान बना देंगे पर बीजेपी ने तो देश को नेपाल बना दिया कुछ तो शर्म करो तू भी चौकीदार,1,1
1010,[],[],"[""Advertisement"",""Others""]","*Nihal Siddiqui  ने इन शहीदों को भावपूर्वक श्रद्धांजलि* दी है, 
आप भी 2 मिनट ओपन करके *श्रद्धांजलि देवे*  
 
 apna-style.club/?n=Nihal-Siddiqui",True,anshuman,Hindi,Offensive,Nihal Siddiqui ने इन शहीदों को भावपूर्वक श्रद्धांजलि दी है आप भी मिनट ओपन करके श्रद्धांजलि देवे apna-styleclub/ n=Nihal-Siddiqui,1,0
1011,[],[],"[""Spam""]",Mere pass bhre huwe hai,False,anshuman,Hindi,Spam,Mere pass bhre huwe hai,0,3
1013,[],[],"[""Others""]","गांधी को किसने मारा यह तो 70 साल से पढ़ा रहे हैं..!
 
गुरु गोविंदसिंह के चार बच्चों को किसने मारा यह क्यों नहीं पढ़ाया जा रहा..?
",True,anshuman,Hindi,Others,गांधी को किसने मारा यह तो 70 साल से पढ़ा रहे हैं गुरु गोविंदसिंह के चार बच्चों को किसने मारा यह क्यों नहीं पढ़ाया जा रहा,1,1
1014,[],[],"[""Spam""]",Ye huwa na bat sab admin se  bol rha hu group me jyad member Ko jodo kam se kam 2000 member hona chiya 8 admin h asliya,False,anshuman,Hindi,Spam,Ye huwa na bat sab admin se bol rha hu group me jyad member Ko jodo kam se kam 2000 member hona chiya admin asliya,0,3
1015,"[""BJP""]","[""INC""]",[],"सैनिक कार्रवाई पर भाजपा वोट राजनीति ना करे:विपक्ष

याद न होगा,तेरे पूर्वज इंदिरा राजीव के लाश से भी वोट निकाल लिया करते थे:पक्ष",True,anshuman,Hindi,Others,सैनिक कार्रवाई पर भाजपा वोट राजनीति ना करे विपक्षयाद होगा तेरे पूर्वज इंदिरा राजीव के लाश से भी वोट निकाल लिया करते थे पक्ष,1,1
